"","question","options","answer"
"1","气体钢瓶使用后，可以不关闭阀门。","A.对 B.错","错误"
"2","冷凝冷却系统上连接用的橡胶管必须用铁丝等固定住，以防止因水压过高而造成管子脱落。","A.对 B.错","正确"
"3","可以用烘箱干燥有爆炸危险性的物质。","A.对 B.错","错误"
"4","金属锂、钠、钾及金属氢化物要注意使用和保存，尤其不能与水直接接触。","A.对 B.错","正确"
"5","能相互反应产生有毒气体的废液，不得倒入同一收集桶中。若某种废液倒入收集桶会发生危险，则应单独暂存于一容器中，并贴上标签。","A.对 B.错","正确"
"6","在实验室允许口尝鉴定试剂和未知物。","A.对 B.错","错误"
"7","对于化学试剂或未知物，允许直接用鼻子嗅气味，不用以手煽出少量气体来嗅觉。","A.对 B.错","错误"
"8","在实验室内一切有可能产生毒性蒸气的工作必须在通风橱中进行，并有良好的排风设备。","A.对 B.错","正确"
"9","在稀释浓硫酸时，不能将水往浓硫酸里倒，而应将浓硫酸缓缓倒入水中，不断搅拌均匀。","A.对 B.错","正确"
"10","实验室内的浓酸、浓碱处理，一般要先中和后倾倒，并用大量的水冲洗管道。","A.对 B.错","正确"
"11","对于无机酸类废液，实验室可以收集后进行如下处理：将废酸慢慢倒入过量的含碳酸钠或氢氧化钙的水溶液中（或用废碱）互相中和，再用大量水冲洗。","A.对 B.错","正确"
"12","对于氢氧化钠、氨水等废液可以进行如下处理：用6mol/L盐酸水溶液中和，再用大量水冲洗。","A.对 B.错","正确"
"13","对于含汞、砷、锑、铋等离子的废液，实验室可以先进行如下处理：控制酸度0.3mol/L[H+]，使其生成硫化物沉淀。","A.对 B.错","正确"
"14","对于含氰废液可以进行处理：加入氢氧化钠使pH值10以上，加入过量的高锰酸钾（3%）溶液，使CN根氧化分解。CN根含量高时，可加入过量的次氯酸钙和氢氧化钠溶液。","A.对 B.错","正确"
"15","对于含氟废液可以进行如下处理：加入石灰使生成氟化钙沉淀。","A.对 B.错","正确"
"16","可以将氯气与氨气混放在一个房间。","A.对 B.错","错误"
"17","可以将氢气与氧气混放在一个房间。","A.对 B.错","错误"
