"","question","options","answer"
"1","离心过程中，若听到离心机有异常响声，待离心完成后再停机检查原因。","A.对 B.错","错误"
"2","离心机使用时，针对离心液体的性质选择适宜的离心管。为避免玻璃套管的破裂，有机溶剂和酶溶液选择塑料套管，盐溶液选择金属套管。","A.对 B.错","错误"
"3","在用匀浆器操作生物材料时，建议采用特氟隆材料的匀浆器。","A.对 B.错","正确"
"4","如在液氮罐中保存安瓿瓶，应将其存放在液氮的气相中。","A.对 B.错","正确"
"5","高压灭菌液体终止时，为尽快地取出灭菌液体，可快速排气使压力迅速降低。","A.对 B.错","错误"
"6","高压灭菌锅灭菌时，待灭菌的物品可与含有腐蚀性抑制剂或化学试剂的物质放在一起灭菌。","A.对 B.错","错误"
"7","被微生物等生物材料污染的玻璃器皿应立即高压灭菌，然后清洗。","A.对 B.错","正确"
"8","实验时间紧迫时，可以在开启的紫外灯下工作。","A.对 B.错","错误"
"9","进入同位素实验室之前和实验结束后应及时用同位素探测仪检查污染状况。","A.对 B.错","正确"
"10","开展病原微生物类实验所产生的废弃物,在分类处置前,必须先自行高压蒸汽灭菌。","A.对 B.错","正确"
"11","当生物安全柜内发生少量感染性材料溢洒时，应用吸收纸巾立即处理，并立即用浸满消毒液的毛巾或纱布对生物安全柜及其内部的所以物品进行擦洗。工作面消毒后应更换手套，不论是摘下手套还是更换手套都要洗手。","A.对 B.错","正确"
"12","当生物安全柜内发生大量感染性材料溢洒时，液体会通过生物安全柜前面或后面的格栅流到下面去，生物安全柜内所有的物品都应该进行表面消毒并拿出生物安全柜，在确保生物安全柜的排水阀被关闭后，可将消毒液倒在工作台面上，使液体通过格栅流到排水盘上。所有接触溢出物品的材料都要进行消毒和/或高压灭菌处理。","A.对 B.错","正确"
"13","学生在实验中应严格按照要求和规范使用手术器械，注意手术器械使用安全，严禁用手术器械进行与实验无关的事情。","A.对 B.错","正确"
"14","学生在动物实验中，抓取蟾蜍时应注意使其头部向外侧，不要挤压耳后腺，防止耳后腺分泌物射入实验者眼内。万一被射入，则需立即用生理盐水冲洗眼睛。","A.对 B.错","正确"
"15","凡是基因工程操作所用的一切塑料器具（eppendorf管、tip等），在使用前都应装入盒子和瓶子中灭菌，且装盒或装瓶过程中都应采用镊子或戴上一次性手套进行操作，不能直接用手去拿，严防手上杂酶污染。","A.对 B.错","正确"
"16","在微生物实验中，一定要有“有菌观念”和“无菌操作意识”，操作中一定要按正确的程序严格无菌操作，一方面避免感染，另一方面加强自我防护。","A.对 B.错","正确"
"17","如果在微生物实验中出现意外事故（如菌种管打破等），应立即用消毒剂（84消毒剂）清洁桌面、洗手等，及时杀灭细菌和病毒，避免污染面扩大。","A.对 B.错","正确"
"18","每次微生物实验结束后，必须清洁消毒实验桌面，并需彻底洗手等。","A.对 B.错","正确"
"19","在需用橡胶或塑料手套的生化类实验中，不用经常检查手套有无破损。","A.对 B.错","错误"
"20","在微生物实验中，一些污染或盛有有害细菌和病毒的器皿，一定要消毒和高压灭菌处理后方可再利用。","A.对 B.错","正确"
"21","当离心机用完停止时，不用等待操作面板上速度显示为零就可打开离心机盖子。","A.对 B.错","错误"
"22","当冷冻离心机用完后，不要马上关闭离心机盖子，应敞开一段时间，待冷冻造成的霜自然晾干后，再关闭离心机盖子。","A.对 B.错","正确"
"23","发酵实验过程中要严格按操作规程进行，要注意水、电、汽（气）安全，厉行节约，严禁跑冒滴漏。要注意不要将酸碱等液体滴到仪器设备表面，避免造成仪器表面污染或腐蚀。","A.对 B.错","正确"
"24","发酵实验期间，要保持室内地面、桌面、操作台及其各种物品和器具的清洁卫生，同时也要保持发酵罐体外及其管路的卫生，做到无灰尘、无污垢。","A.对 B.错","正确"
"25","学生在《动物生理学实验》中，抓取蟾蜍时应注意使其头部向外侧，可以挤压耳后腺。如果耳后腺分泌物射入实验者眼内，则需用自来水冲洗眼睛。","A.对 B.错","错误"
"26","在动物实验结束后，可以自行处理实验动物，未处死的动物可以随手丢弃。","A.对 B.错","错误"
"27","使用离心机时，离心样品的平衡并不重要。","A.对 B.错","错误"
"28","凡是《基因工程实验》操作所用的一切塑料器具（eppendorf管、tip等），在使用前都应装入盒子和瓶子中灭菌，可以直接用手装盒或装瓶。","A.对 B.错","错误"
"29","生物实验需使用一次性手套，手套用完后捆好再弃于普通的垃圾箱内。","A.对 B.错","错误"
"30","在《分子生物学实验》中所用的eppendorf管、tip为一次性用品，用完后可以弃于普通的垃圾箱内。","A.对 B.错","错误"
"31","发酵实验结束后活菌体不需要加热杀死后就能排放。","A.对 B.错","错误"
"32","每次微生物实验结束后，必须用普通自来水清洁实验桌面，并需彻底洗手等。","A.对 B.错","错误"
"33","在生物化学蛋白电泳实验中，单体丙烯酰胺和甲叉双丙稀酰胺均为神经性毒物，接触皮肤不会被吸收。","A.对 B.错","错误"
"34","实验中用到的溴化乙锭（EB）、秋水仙素等致癌物质，实验后可以直接向下水管道或垃圾箱倾倒。","A.对 B.错","错误"
"35","在微生物实验中，一些不要的菌种等，不需要经消毒和高压灭菌处理后，可以直接弃掉。","A.对 B.错","错误"
"36","微生物学实验中，一些受过污染或盛过有害细菌、病菌的器皿和废弃的菌种等，一定要经消毒和高压灭菌处理后，方可弃掉，灭菌过的器皿可以再利用。","A.对 B.错","正确"
"37","实验室应时常监测生物安全柜以确保其性能符合相关要求。应保存检查记录和任何功能性测试结果，并在安全柜上标记检查证明。","A.对 B.错","正确"
"38","次氯酸钠一般不用作杀菌剂，常用于一般用途的消毒剂以及浸泡污染的非金属物质。","A.对 B.错","正确"
"39","甲醛在温度高于20℃的情况下，能够杀死微生物及其孢子和朊病毒。","A.对 B.错","错误"
"40","75％的乙醇水溶液可以用于皮肤、实验室工作台表面以及小型器械的消毒。皮肤消毒至少10秒、其他物体表面消毒不能少于3分钟。","A.对 B.错","正确"
