"","question","options","answer"
"1","放射性废物，经过屏蔽处理后可以当作一般垃圾处理。","A.对 B.错","错误"
"2","涉辐人员，必须每年进行一次职业病体检，每两年进行一次辐射安全与防护培训。","A.对 B.错","正确"
"3","放射性同位素应当单独存放，不得与易燃、易爆、腐蚀性物品等一起存放。","A.对 B.错","正确"
"4","未经环保部门批准，不得擅自进口、转让放射性同位素。","A.对 B.错","正确"
"5","只要有辐射许可证，可以不管其规定的范围从事放射性同位素和射线装置生产、销售、使用活动。","A.对 B.错","错误"
"6","各涉源单位须取得“许可登记”方能开展相关工作，放射工作人员必须参加指定医疗单位的职业病体检、政府环境主管部门举办的辐射安全与防护知识培训，定期接受个人剂量监测（3个月一次），持证上岗。","A.对 B.错","正确"
"7","射线装置、辐射工作场所须安装防盗、防火、防泄漏设施，保证放射性同位素和射线装置的使用安全。辐射工作场所的入口处应放置辐射警示标志和工作信号。","A.对 B.错","正确"
"8","购买放射源、同位素试剂和射线装置时，应首先向学校辐射安全管理委员会办公室（设在实验室与设备管理处）提出申请，经审核同意后，向政府环境主管部门办理“准购证”，方能委托采购部门进行采购。","A.对 B.错","正确"
"9","各涉源单位不必健全放射性同位素保管、领用和消耗的登记制度。","A.对 B.错","错误"
"10","涉源单位产生放射性废源废物可以直接排入下水道或混装到普通垃圾中。","A.对 B.错","错误"
"11","参照国际原子能机构的有关规定，国务院环境保护主管部门按照放射源对人体健康和环境的潜在危害程度，从高到低将放射源分为Ⅰ、Ⅱ、Ⅲ、Ⅳ、Ⅴ类。","A.对 B.错","正确"
"12","密封型放射源使用完后，三个月内必须送具有资质的单位进行处理。","A.对 B.错","正确"
"13","半衰期长的同位素试剂及其实验废弃物必须送具有资质的单位进行处理。","A.对 B.错","正确"
"14","半衰期短的同位素试剂及其实验废弃物必须用容器密封保存8个半衰期以上，经检测其活度达到安全水平以下，可作为普通实验废弃物处理。","A.对 B.错","正确"
"15","一定剂量电离辐射会对人体造成损伤，应采取措施进行防护。","A.对 B.错","正确"
"16","可以用手触摸放射源表面。","A.对 B.错","错误"
"17","可以用眼睛近距离直观放射源。","A.对 B.错","错误"
"18","离开放射性实验室前必须洗手。","A.对 B.错","正确"
